wkt_geom	Entity	Layer	Color	Linetype	Elevation	ORIG_FID	x	y
PointZ (392259.90169999998761341 283195.33760000002803281 2.30521339389022639)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392259.9017	283195.3376
PointZ (392259.58079999999608845 283198.69729999999981374 2.30521339389022639)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392259.5808	283198.6973
PointZ (392259.61869999999180436 283197.72810000000754371 2.27851678976058736)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392259.6187	283197.7281
PointZ (392259.68930000002728775 283201.09350000001722947 2.30521339389022639)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392259.6893	283201.0935
PointZ (392259.59240000002318993 283200.04590000002644956 2.30521339389022639)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392259.5924	283200.0459
PointZ (392260.60729999997420236 283205.31229999999050051 2.27851678976058736)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392260.6073	283205.3123
PointZ (392260.00589999998919666 283203.19980000000214204 2.27851678976058736)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392260.0059	283203.1998
PointZ (392262.60149999998975545 283209.61599999997997656 2.27851678976058736)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392262.6015	283209.616
PointZ (392261.43359999998938292 283207.34450000000651926 2.27851678976058736)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392261.4336	283207.3445
PointZ (392265.30308628582861274 283213.79567015770589933 2.22648627254105902)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392265.303086	283213.79567
PointZ (392263.72440000000642613 283211.63459999999031425 2.26516848769576784)	3DPolyline	차선_점선	2	Continuous	2.29186509183	503	392263.7244	283211.6346
PointZ (392220.2029999999795109 283197.89159999997355044 2.43202226350601869)	3DPolyline	차선_실선	1	Continuous	2.43202226351	483	392220.203	283197.8916
PointZ (392220.59989999997196719 283197.45429999998304993 2.43202226350601869)	3DPolyline	차선_실선	1	Continuous	2.43202226351	483	392220.5999	283197.4543
PointZ (392207.93569999997271225 283215.49070000002393499 2.40532565937637965)	3DPolyline	차선_실선	1	Continuous	2.43202226351	483	392207.9357	283215.4907
PointZ (392213.5617000000202097 283207.48900000000139698 2.39197735731156014)	3DPolyline	차선_실선	1	Continuous	2.43202226351	483	392213.5617	283207.489
PointZ (392209.68190000002505258 283215.14449999999487773 2.40532565937637965)	3DPolyline	차선_실선	1	Continuous	2.43202226351	483	392209.6819	283215.1445
PointZ (392204.76579999999376014 283220.02549999998882413 2.43202226350601869)	3DPolyline	차선_실선	1	Continuous	2.43202226351	483	392204.7658	283220.0255
PointZ (392224.43550000002142042 283200.07439999998314306 2.43202226350601869)	3DPolyline	차선_실선	1	Continuous	2.43202226351	483	392224.4355	283200.0744
PointZ (392218.2734000000054948 283206.31119999999646097 2.41867396144119917)	3DPolyline	차선_실선	1	Continuous	2.43202226351	483	392218.2734	283206.3112
PointZ (392209.6033000000170432 283219.39079999999376014 2.43869641453842334)	3DPolyline	차선_실선	1	Continuous	2.45224620402	484	392209.6033	283219.3908
PointZ (392225.47085291211260483 283203.377479501767084 2.4522462040226416)	3DPolyline	차선_실선	1	Continuous	2.45224620402	484	392225.470853	283203.37748
PointZ (392249.86829999997280538 283196.15820000000530854 2.43869641453842334)	3DPolyline	차선_점선	2	Continuous	2.42534811247	485	392249.8683	283196.1582
PointZ (392256.82140000001527369 283191.30910000001313165 2.42534811247360382)	3DPolyline	차선_점선	2	Continuous	2.42534811247	485	392256.8214	283191.3091
PointZ (392235.81510000000707805 283207.13069999997969717 2.49208962279770141)	3DPolyline	차선_점선	2	Continuous	2.42534811247	485	392235.8151	283207.1307
